"Zupanija","2014 Privatno Putovanja Inozemstvo 1 i više noæenja","2014 Privatno Putovanja Inozemstvo 1 - 3 noæenja","2014 Privatno Putovanja Inozemstvo 4 i više noæenja","2014 Privatno Putovanja Hrvatska 1 i više noæenja","2014 Privatno Putovanja Hrvatska 1 - 3 noæenja","2014 Privatno Putovanja Hrvatska 4 i više noæenja","2014 Privatno Noæenja Inozemstvo 1 i više noæenja","2014 Privatno Noæenja Inozemstvo 1 - 3 noæenja","2014 Privatno Noæenja Inozemstvo 4 i više noæenja","2014 Privatno Noæenja Hrvatska 1 i više noæenja","2014 Privatno Noæenja Hrvatska 1 - 3 noæenja","2014 Privatno Noæenja Hrvatska 4 i više noæenja","2014 Privatno Izdaci Inozemstvo 1 i više noæenja","2014 Privatno Izdaci Inozemstvo 1 - 3 noæenja","2014 Privatno Izdaci Inozemstvo 4 i više noæenja","2014 Privatno Izdaci Hrvatska 1 i više noæenja","2014 Privatno Izdaci Hrvatska 1 - 3 noæenja","2014 Privatno Izdaci Hrvatska 4 i više noæenja","2014 Poslovno Putovanja Inozemstvo 1 i više noæenja","2014 Poslovno Putovanja Inozemstvo 1 - 3 noæenja","2014 Poslovno Putovanja Inozemstvo 4 i više noæenja","2014 Poslovno Putovanja Hrvatska 1 i više noæenja","2014 Poslovno Putovanja Hrvatska 1 - 3 noæenja","2014 Poslovno Putovanja Hrvatska 4 i više noæenja","2014 Poslovno Noæenja Inozemstvo 1 i više noæenja","2014 Poslovno Noæenja Inozemstvo 1 - 3 noæenja","2014 Poslovno Noæenja Inozemstvo 4 i više noæenja","2014 Poslovno Noæenja Hrvatska 1 i više noæenja","2014 Poslovno Noæenja Hrvatska 1 - 3 noæenja","2014 Poslovno Noæenja Hrvatska 4 i više noæenja","2014 Poslovno Izdaci Inozemstvo 1 i više noæenja","2014 Poslovno Izdaci Inozemstvo 1 - 3 noæenja","2014 Poslovno Izdaci Inozemstvo 4 i više noæenja","2014 Poslovno Izdaci Hrvatska 1 i više noæenja","2014 Poslovno Izdaci Hrvatska 1 - 3 noæenja","2014 Poslovno Izdaci Hrvatska 4 i više noæenja","2015 Privatno Putovanja Inozemstvo 1 i više noæenja","2015 Privatno Putovanja Inozemstvo 1 - 3 noæenja","2015 Privatno Putovanja Inozemstvo 4 i više noæenja","2015 Privatno Putovanja Hrvatska 1 i više noæenja","2015 Privatno Putovanja Hrvatska 1 - 3 noæenja","2015 Privatno Putovanja Hrvatska 4 i više noæenja","2015 Privatno Noæenja Inozemstvo 1 i više noæenja","2015 Privatno Noæenja Inozemstvo 1 - 3 noæenja","2015 Privatno Noæenja Inozemstvo 4 i više noæenja","2015 Privatno Noæenja Hrvatska 1 i više noæenja","2015 Privatno Noæenja Hrvatska 1 - 3 noæenja","2015 Privatno Noæenja Hrvatska 4 i više noæenja","2015 Privatno Izdaci Inozemstvo 1 i više noæenja","2015 Privatno Izdaci Inozemstvo 1 - 3 noæenja","2015 Privatno Izdaci Inozemstvo 4 i više noæenja","2015 Privatno Izdaci Hrvatska 1 i više noæenja","2015 Privatno Izdaci Hrvatska 1 - 3 noæenja","2015 Privatno Izdaci Hrvatska 4 i više noæenja","2015 Poslovno Putovanja Inozemstvo 1 i više noæenja","2015 Poslovno Putovanja Inozemstvo 1 - 3 noæenja","2015 Poslovno Putovanja Inozemstvo 4 i više noæenja","2015 Poslovno Putovanja Hrvatska 1 i više noæenja","2015 Poslovno Putovanja Hrvatska 1 - 3 noæenja","2015 Poslovno Putovanja Hrvatska 4 i više noæenja","2015 Poslovno Noæenja Inozemstvo 1 i više noæenja","2015 Poslovno Noæenja Inozemstvo 1 - 3 noæenja","2015 Poslovno Noæenja Inozemstvo 4 i više noæenja","2015 Poslovno Noæenja Hrvatska 1 i više noæenja","2015 Poslovno Noæenja Hrvatska 1 - 3 noæenja","2015 Poslovno Noæenja Hrvatska 4 i više noæenja","2015 Poslovno Izdaci Inozemstvo 1 i više noæenja","2015 Poslovno Izdaci Inozemstvo 1 - 3 noæenja","2015 Poslovno Izdaci Inozemstvo 4 i više noæenja","2015 Poslovno Izdaci Hrvatska 1 i više noæenja","2015 Poslovno Izdaci Hrvatska 1 - 3 noæenja","2015 Poslovno Izdaci Hrvatska 4 i više noæenja"
"Požeško-slavonska županija",25613,16806,8807,58982,32522,26461,238344,34504,203840,307615,73168,234447,55863919,21584592,34279327,60740451,14829586,45910865,8142,3995,4147,7762,6431,1331,85923,8502,77421,53330,13396,39934,19794984,5344749,14450234,14972916,9648350,5324566,21005,7589,13416,43925,11174,32751,140057,13248,126810,289898,20719,269179,78708129,31258586,47449543,37166036,9547536,27618500,8420,8420,..,26487,..,26487,22504,22504,..,187448,..,187448,42026562,42026562,..,164479127,..,164479127
"Brodsko-posavska županija",39675,15410,24265,154387,91636,62751,313288,31642,281646,658454,152807,505647,85761319,19177310,66584009,115899923,46777186,69122737,5413,2284,3129,8561,7544,1017,352636,5149,347487,20603,13047,7556,150415761,9990244,140425517,12979516,10625100,2354416,55931,21612,34319,75841,44506,31335,264881,43547,221334,382335,95207,287128,131447571,25292108,106155463,64181724,25470502,38711222,13784,12858,926,4323,3679,644,85317,20695,64623,45788,7173,38615,50440407,44635472,5804935,11347875,9288416,2059459
"Zadarska županija",54780,20129,34651,202360,146963,55397,400440,43497,356943,838948,272685,566263,245833083,39324822,206508261,149918883,87967567,61951316,17167,9764,7403,29529,24110,5419,378836,14742,364094,174738,36509,138229,57354327,25377031,31977296,35275580,21544405,13731175,40705,14473,26232,164143,127925,36218,1456650,35902,1420748,1046697,228321,818376,143050918,50475678,92575241,132931735,64243548,68688188,4277,3760,517,12706,8251,4455,15415,11279,4135,47537,12578,34959,22562123,19072904,3489219,36961399,16928448,20032951
"Osjeèko-baranjska županija",135867,70462,65404,207740,122720,85020,598382,113291,485091,1110495,220831,889664,337513114,67878203,269634912,155828228,50983282,104844946,46154,35234,10920,75727,52937,22790,140211,64524,75687,518996,105366,413630,87404940,69960914,17444026,79570325,47964501,31605823,96790,42143,54647,227553,118362,109191,926722,94608,832113,1544939,230774,1314165,301107799,41605522,259502277,258775451,62464080,196311371,22429,21151,1278,27330,15003,12327,58175,47876,10299,180585,27266,153319,61656849,57552695,4104154,83311238,38336141,44975096
"Šibensko-kninska županija",37102,21205,15896,102745,78559,24186,148781,45932,102849,426165,166122,260044,100731994,49984606,50747388,104596147,64955998,39640149,28644,27627,1017,35116,28515,6601,54519,45801,8718,81039,49667,31372,34362238,32947342,1414895,36824812,30070258,6754554,51143,11727,39416,83674,47267,36407,546498,29151,517347,524160,87449,436711,89735018,32918809,56816209,63886878,46867753,17019125,5960,229,5731,6579,6278,301,23917,458,23460,7781,6278,1503,22964984,1029569,21935415,6850984,6033404,817580
"Vukovarsko-srijemska županija",100600,44474,56126,111007,70574,40434,1243739,65327,1178412,908063,147722,760341,281406361,46557883,234848478,118371785,44425794,73945991,36900,3115,33785,19684,17054,2630,1888273,8027,1880247,112690,21123,91567,173085999,8402502,164683497,37905461,20462704,17442757,74111,51082,23029,100854,49242,51612,384407,101147,283260,664894,88185,576708,124342854,74159250,50183604,146732732,35564517,111168216,2859,2859,..,2518,1426,1092,5718,5718,..,57927,1923,56004,1600930,1600930,..,6523824,1269929,5253895
"Splitsko-dalmatinska županija",228227,128734,99493,480297,347150,133147,1365146,275376,1089770,2091279,663378,1427900,535222163,181875298,353346865,402409397,221898760,180510637,76597,45771,30826,93406,77995,15411,534523,91628,442894,239406,139364,100042,426972029,188304490,238667539,153271474,117880967,35390507,297718,101648,196070,402625,247809,154816,2151361,215041,1936320,1955321,528250,1427071,998266745,222014389,776252356,369095211,171067035,198028177,17559,14169,3390,23569,23569,..,43592,27662,15930,34508,34508,..,58712164,41317141,17395022,19254485,19254485,..
"Istarska županija",152632,73056,79576,206819,144927,61891,1486048,136328,1349720,857120,310747,546373,459184573,133134999,326049574,185643504,108809552,76833952,51957,31873,20084,44043,33143,10900,394542,47901,346642,146944,59312,87633,176253345,20715046,155538299,29451460,25029218,4422242,148484,59306,89178,126574,101595,24978,1357451,129273,1228178,416986,203386,213600,635542218,155776237,479765982,114225428,78039146,36186282,16159,10756,5403,18385,17958,427,82414,18769,63646,28539,26832,1707,45958966,23882827,22076140,22649585,22372255,277330
"Dubrovaèko-neretvanska županija",102738,30826,71912,91711,75671,16041,726845,58442,668404,278504,150117,128387,664549634,45519183,619030451,95412304,75527523,19884780,7428,2729,4700,13015,10362,2653,43687,8187,35501,192205,26995,165211,55080202,16186724,38893478,32649877,20664604,11985273,42143,15828,26316,117486,61533,55954,271040,39835,231205,599432,125803,473630,158311917,47613173,110698744,159905128,55848136,104056992,2172,1072,1100,11911,3335,8576,134198,2143,132055,48861,5134,43727,22249541,1285801,20963740,12405312,4277505,8127807
"Meðimurska županija",37303,14542,22761,86475,51271,35204,210323,25729,184594,397071,84924,312147,124839459,28614328,96225131,82695734,36429667,46266067,13905,990,12915,8512,7678,833,443408,1980,441428,19084,14083,5001,70254829,1004878,69249950,13383747,12550277,833470,70825,38555,32270,106201,38145,68056,312567,77285,235282,544235,48652,495584,190694721,58999951,131694770,185924538,27818834,158105704,16111,15898,213,649,649,..,34782,33719,1063,1299,1299,..,28923167,28417060,506106,753232,753232,..
"Grad Zagreb",500295,267001,233294,1423226,829089,594137,2578026,567398,2010628,8690330,1546968,7143362,1315723521,426488040,889235481,1343982142,423912058,920070084,238010,163654,74356,273733,220397,53336,864068,292847,571221,1126860,337412,789448,1284057662,704488190,579569473,353808282,249947976,103860306,509054,221289,287765,1058842,470310,588531,3243274,486901,2756373,7811689,936589,6875100,1715231404,339042392,1376189012,1232182578,265409579,966772999,157448,125113,32335,166666,122945,43721,801448,207813,593635,415219,173354,241865,731064965,502090442,228974523,278452444,166032800,112419644
